3,1,20.0
10,1,36.0
11,1,16.0
21,1,16.0
31,1,17.0
45,1,12.0
50,1,252.0
59,1,54.0
65,1,37.0
71,1,429.0
77,1,21.0
79,1,6.0
80,1,25.0
81,1,24.0
93,1,3.0
104,1,5.0
119,1,9.0
125,1,19.0
128,1,86.0
134,1,4.0
152,1,17.0
181,1,6.0
199,1,94.0
203,1,6.0
210,1,33.0
218,1,8.0
230,1,25.0
251,1,16.0
257,1,50.0
271,1,2.0
272,1,66.0
274,1,153.0
275,1,30.0
283,1,2.0
312,1,39.0
317,1,6.0
318,1,5.0
322,1,17.0
325,1,1.0
348,1,18.0
364,1,13.0
368,1,6.0
375,1,2.0
381,1,7.0
382,1,41.0
385,1,25.0
406,1,18.0
408,1,8.0
409,1,7.0
425,1,10.0
427,1,2.0
433,1,69.0
451,1,38.0
469,1,22.0
481,1,10.0
482,1,8.0
497,1,4.0
531,1,63.0
544,1,6.0
556,1,21.0
574,1,4.0
611,1,38.0
641,1,29.0
642,1,15.0
659,1,30.0
661,1,7.0
694,1,16.0
701,1,20.0
705,1,63.0
718,1,36.0
721,1,5.0
724,1,6.0
737,1,10.0
747,1,6.0
812,1,10.0
817,1,346.0
834,1,15.0
836,1,189.0
843,1,44.0
889,1,25.0
920,1,36.0
934,1,25.0
964,1,54.0
1013,1,221.0
1016,1,50.0
1052,1,12.0
1056,1,4.0
1064,1,6.0
1071,1,71.0
1075,1,84.0
1083,1,4.0
1084,1,1.0
1108,1,15.0
1110,1,411.0
1121,1,14.0
1122,1,15.0
1124,1,3.0
1125,1,1.0
1141,1,14.0
1159,1,14.0
1161,1,1559.0
1162,1,17.0
1176,1,12.0
1179,1,155.0
1182,1,25.0
1204,1,10.0
1207,1,16.0
1212,1,46.0
1214,1,124.0
1216,1,1.0
1218,1,4.0
1219,1,10.0
1229,1,20.0
1250,1,21.0
1293,1,19.0
1299,1,30.0
1309,1,24.0
1331,1,5.0
1350,1,22.0
1351,1,7.0
1353,1,2.0
1370,1,11.0
1372,1,43.0
1378,1,5.0
1380,1,8.0
1392,1,1406.0
1417,1,12.0
1424,1,26.0
1429,1,179.0
1443,1,8.0
1481,1,4.0
1487,1,3.0
1537,1,27.0
1540,1,7.0
1545,1,3.0
1579,1,138.0
1582,1,18.0
1593,1,167.0
1594,1,9.0
1598,1,7.0
1602,1,13.0
1610,1,109.0
1621,1,191.0
1623,1,34.0
1648,1,39.0
1653,1,9.0
1660,1,6.0
1665,1,3.0
1666,1,27.0
1669,1,61.0
1694,1,3.0
1705,1,16.0
1713,1,6.0
1735,1,1.0
1763,1,9.0
1774,1,182.0
1803,1,2.0
1804,1,8.0
1821,1,22.0
1823,1,18.0
1828,1,15.0
1839,1,7.0
1840,1,7.0
1869,1,31.0
1877,1,1.0
1893,1,4.0
1903,1,7.0
1936,1,18.0
1968,1,28.0
2040,1,70.0
2073,1,10.0
2075,1,6.0
2082,1,4.0
2094,1,56.0
2102,1,63.0
2108,1,186.0
2113,1,20.0
2127,1,1.0
2138,1,11.0
2147,1,2.0
2152,1,39.0
2200,1,30.0
2227,1,17.0
2232,1,6.0
2247,1,234.0
2287,1,68.0
2294,1,16.0
2299,1,15.0
2307,1,2.0
2311,1,55.0
2325,1,2.0
2333,1,29.0
2335,1,305.0
2337,1,11.0
2338,1,14.0
2342,1,7.0
2353,1,88.0
2354,1,7.0
2364,1,432.0
2373,1,7.0
2424,1,1.0
2433,1,15.0
2467,1,2.0
2485,1,28.0
2511,1,17.0
2520,1,38.0
2613,1,183.0
2618,1,75.0
2624,1,8.0
2637,1,14.0
2670,1,9.0
2672,1,7.0
2703,1,116.0
2741,1,22.0
2747,1,2.0
2792,1,6.0
2794,1,24.0
2796,1,16.0
2813,1,133.0
2815,1,7.0
2838,1,3.0
2883,1,60.0
2888,1,47.0
2896,1,2.0
2920,1,3.0
2921,1,126.0
2922,1,3.0
2941,1,29.0
2947,1,33.0
2948,1,3.0
2995,1,19.0
3043,1,7.0
3044,1,50.0
3049,1,141.0
3054,1,23.0
3057,1,24.0
3070,1,37.0
3081,1,1.0
3093,1,233.0
3106,1,7.0
3113,1,26.0
3114,1,19.0
3116,1,2.0
3118,1,4.0
3146,1,41.0
3166,1,11.0
3170,1,4.0
3180,1,130.0
3197,1,4.0
3210,1,7.0
3252,1,53.0
3347,1,44.0
3348,1,11.0
3380,1,12.0
3405,1,23.0
3409,1,18.0
3433,1,47.0
3442,1,33.0
3456,1,15.0
3459,1,23.0
3460,1,37.0
3466,1,27.0
3486,1,17.0
3503,1,138.0
3507,1,42.0
3511,1,769.0
3516,1,34.0
3528,1,70.0
3529,1,29.0
3533,1,47.0
3536,1,83.0
3537,1,542.0
3539,1,36.0
3548,1,37.0
3549,1,56.0
3563,1,63.0
3573,1,4.0
3589,1,11.0
3628,1,52.0
3637,1,7.0
3643,1,276.0
3688,1,3.0
3694,1,77.0
3709,1,21.0
3721,1,12.0
3768,1,6.0
3788,1,27.0
3796,1,151.0
3841,1,53.0
3842,1,24.0
3850,1,5.0
3860,1,90.0
3863,1,218.0
